iteration,objective,x_1,x_2,x_3,x_4,x_5,x_6
0,2.6312152740293387e8,1.08539,1.53171,1.53171,1.00084,1.00084,1.00084
1,1.2701979423892176e8,1.11627,1.45737,1.45737,1.07932,1.07932,1.07932
2,1.3640053033960888e8,1.27278,1.39713,1.39713,1.14045,1.14045,1.14045
3,1.9359715406462592e18,1.3,3.0,3.0,1.4,1.4,1.4
4,1.3463802176158783e11,1.26997,2.95453,2.95453,1.39246,1.39246,1.39246
5,1.936518856569672e18,1.29998,2.99975,2.99975,1.40001,1.40001,1.40001
6,1.0451724020905038e11,1.22018,2.87185,2.87185,1.29288,1.29288,1.29288
7,1.124946903195717e11,1.28656,2.90385,2.90385,1.2529,1.2529,1.2529
8,1.8119926789944437e11,1.30274,2.97025,2.97025,1.38052,1.38052,1.38052
9,1.0468562090742937e11,1.34813,2.92702,2.92702,1.34047,1.34047,1.34047
